code,display_name,city,raw_name
CSM00078762,Aeropuerto Internacional Ju,Aeropuerto Internacional Ju,AEROPUERTO INTERNACIONAL JU
CTM00064650,Bangui,Bangui,BANGUI
CYM00017600,Paphos Ap (Paphos Ap),Paphos Ap,PAPHOS AP
CYM00017607,Athalassa,Athalassa,ATHALASSA
CYM00017609,Larnaca Airport (Larnaca Airport),Larnaca Airport,LARNACA AIRPORT
DAM00006060,Flyvestation Karup,Flyvestation Karup,FLYVESTATION KARUP
DRM00078486,Santo Domingo (78486-0),Santo Domingo (78486-0),SANTO DOMINGO (78486-0)
ECM00084203,Guayaquil Aeropuerto,Guayaquil Aeropuerto,GUAYAQUIL AEROPUERTO
EGM00062306,Mersa Matruh,Mersa Matruh,MERSA MATRUH
EGM00062337,El Arish,El Arish,EL ARISH
EGM00062378,Helwan,Helwan,HELWAN
EGM00062403,South Of Valley University,South Of Valley University,SOUTH OF VALLEY UNIVERSITY
EGM00062414,Asswan,Asswan,ASSWAN
EGM00062423,Farafra,Farafra,FARAFRA
EIM00003953,Valentia Observatory (3953-,Valentia Observatory (3953-,VALENTIA OBSERVATORY (3953-
ENM00026038,Radar Wrm 200,Radar Wrm 200,RADAR WRM 200
ETM00063450,Addis Ababa-Bole,Addis Ababa-Bole,ADDIS ABABA-BOLE
EZM00011520,Praha-Libus,Praha-Libus,PRAHA-LIBUS
EZM00011747,Prostejov,Prostejov,PROSTEJOV
FGM00081405,Cayenne Matoury,Cayenne Matoury,CAYENNE MATOURY
FIM00002836,Sodankyla Arctic Research C,Sodankyla Arctic Research C,SODANKYLA ARCTIC RESEARCH C
FIM00002963,Jokioinen Observatory,Jokioinen Observatory,JOKIOINEN OBSERVATORY
FJM00091680,Nadi Airport (Nadi Airport),Nadi Airport,NADI AIRPORT
FKM00088889,Mount Pleasant Airport (Mount Pleasant Airport),Mount Pleasant Airport,MOUNT PLEASANT AIRPORT
FMM00091334,Truk,Truk,TRUK/CAROLINE IS.
FMM00091348,Ponape (Ponape/Caroline Is.),Ponape,PONAPE/CAROLINE IS.
FMM00091413,Yap (Yap/Caroline Is.),Yap,YAP/CAROLINE IS.
FOM00006011,Torshavn,Torshavn,TORSHAVN
FPM00091925,Hiva-Oa,Hiva-Oa,HIVA-OA
FPM00091938,Tahiti-Faaa,Tahiti-Faaa,TAHITI-FAAA
FPM00091948,Mangareva,Mangareva,MANGAREVA
FPM00091958,Rapa (Rapa),Rapa,RAPA
